FICHIER :;c:\Users\labo_psi\Desktop\Echelon_10deg_I_H.eposacq
Date :;26/03/2026
Heure :;13:54:44

DESCRIPTION :
ACQUISITION AXE 1 : MAXPID-E
SOLLICITATION en POSITION avec échelon de 10.0 °.
102 mesures avec période de 10.0 ms


COMMENTAIRE :
MAXPID : Plan Vertical avec 0 Masses (0 gr)
 Sollicitation en POSITION : Echelon de 10.0 °
 PID Position : KP = 5600 | KI = 4800 | KD = 25000
 Réponse :
 Ecart de position : -0.09° (-2 qc)
 1er dépassement :  28.9 % à 180.0 ms
 Temps de réponse à 5% : 440.0 ms

MESURES :
Index;Temps;;Consigne de Position;Position Axe;Courant Moteur;
;ms;;qc;qc;mA;
         0;       0,0;;        57;         1;      3133;
         1;      10,0;;       150;         6;      4250;
         2;      20,0;;       228;        17;      4294;
         3;      30,0;;       228;        34;      4287;
         4;      40,0;;       228;        55;      4289;
         5;      50,0;;       228;        80;      4302;
         6;      60,0;;       228;       109;      3864;
         7;      70,0;;       228;       140;      2641;
         8;      80,0;;       228;       170;      1458;
         9;      90,0;;       228;       196;      1016;
        10;     100,0;;       228;       220;       388;
        11;     110,0;;       228;       241;       -90;
        12;     120,0;;       228;       255;       -43;
        13;     130,0;;       228;       268;      -306;
        14;     140,0;;       228;       277;      -285;
        15;     150,0;;       228;       284;      -322;
        16;     160,0;;       228;       288;      -437;
        17;     170,0;;       228;       290;      -320;
        18;     180,0;;       228;       291;      -328;
        19;     190,0;;       228;       291;      -375;
        20;     200,0;;       228;       291;      -544;
        21;     210,0;;       228;       291;      -721;
        22;     220,0;;       228;       291;      -899;
        23;     230,0;;       228;       290;      -906;
        24;     240,0;;       228;       287;      -668;
        25;     250,0;;       228;       283;      -646;
        26;     260,0;;       228;       280;      -658;
        27;     270,0;;       228;       278;      -815;
        28;     280,0;;       228;       275;      -768;
        29;     290,0;;       228;       271;      -720;
        30;     300,0;;       228;       268;      -661;
        31;     310,0;;       228;       265;      -649;
        32;     320,0;;       228;       262;      -784;
        33;     330,0;;       228;       260;      -900;
        34;     340,0;;       228;       257;      -719;
        35;     350,0;;       228;       254;      -517;
        36;     360,0;;       228;       251;      -651;
        37;     370,0;;       228;       249;      -581;
        38;     380,0;;       228;       247;      -632;
        39;     390,0;;       228;       245;      -622;
        40;     400,0;;       228;       243;      -586;
        41;     410,0;;       228;       242;      -631;
        42;     420,0;;       228;       239;      -445;
        43;     430,0;;       228;       237;      -506;
        44;     440,0;;       228;       235;      -380;
        45;     450,0;;       228;       234;      -466;
        46;     460,0;;       228;       234;      -579;
        47;     470,0;;       228;       233;      -497;
        48;     480,0;;       228;       232;      -489;
        49;     490,0;;       228;       231;      -367;
        50;     500,0;;       228;       230;      -330;
        51;     510,0;;       228;       230;      -495;
        52;     520,0;;       228;       229;      -356;
        53;     530,0;;       228;       229;      -469;
        54;     540,0;;       228;       228;      -352;
        55;     550,0;;       228;       227;      -314;
        56;     560,0;;       228;       227;      -350;
        57;     570,0;;       228;       227;      -395;
        58;     580,0;;       228;       227;      -394;
        59;     590,0;;       228;       227;      -392;
        60;     600,0;;       228;       226;      -196;
        61;     610,0;;       228;       226;      -307;
        62;     620,0;;       228;       226;      -332;
        63;     630,0;;       228;       226;      -327;
        64;     640,0;;       228;       226;      -322;
        65;     650,0;;       228;       226;      -316;
        66;     660,0;;       228;       226;      -310;
        67;     670,0;;       228;       226;      -306;
        68;     680,0;;       228;       226;      -299;
        69;     690,0;;       228;       226;      -294;
        70;     700,0;;       228;       226;      -288;
        71;     710,0;;       228;       226;      -283;
        72;     720,0;;       228;       226;      -277;
        73;     730,0;;       228;       226;      -271;
        74;     740,0;;       228;       226;      -265;
        75;     750,0;;       228;       226;      -260;
        76;     760,0;;       228;       226;      -254;
        77;     770,0;;       228;       226;      -248;
        78;     780,0;;       228;       226;      -243;
        79;     790,0;;       228;       226;      -237;
        80;     800,0;;       228;       226;      -231;
        81;     810,0;;       228;       226;      -225;
        82;     820,0;;       228;       226;      -220;
        83;     830,0;;       228;       226;      -214;
        84;     840,0;;       228;       226;      -208;
        85;     850,0;;       228;       226;      -202;
        86;     860,0;;       228;       226;      -196;
        87;     870,0;;       228;       226;      -191;
        88;     880,0;;       228;       226;      -185;
        89;     890,0;;       228;       226;      -179;
        90;     900,0;;       228;       226;      -174;
        91;     910,0;;       228;       226;      -168;
        92;     920,0;;       228;       226;      -163;
        93;     930,0;;       228;       226;      -157;
        94;     940,0;;       228;       226;      -151;
        95;     950,0;;       228;       226;      -145;
        96;     960,0;;       228;       226;      -140;
        97;     970,0;;       228;       226;      -134;
        98;     980,0;;       228;       226;      -128;
        99;     990,0;;       228;       226;      -122;
       100;    1000,0;;       228;       226;      -116;
       101;    1010,0;;       228;       226;      -111;

Paramètre AXE :;MAXPID-E
PID AXE :;KP;KI;KD;KV;KA
Position :;5600;4800;25000;0;0
Vitesse :;1000;1000;;0;0
Courant :;800;200
Sécurité
Acc. max.:;2147483647;rpm/s
Vit. max.:;68;rpm

