FICHIER :;c:\Users\labo_psi\Desktop\Echelon_60deg_H.eposacq
Date :;26/03/2026
Heure :;13:15:59

DESCRIPTION :
ACQUISITION AXE 1 : MAXPID-E
SOLLICITATION en POSITION avec échelon de 60.0 °.
128 mesures avec période de 10.0 ms


COMMENTAIRE :
MAXPID : Plan Vertical avec 0 Masses (0 gr)
 Sollicitation en POSITION : Echelon de 60.0 °
 PID Position : KP = 5600 | KI = 4800 | KD = 25000
 Réponse :
 Ecart de position : -0.26° (-6 qc)
 1er dépassement :   7.4 % à 440.0 ms
 Temps de réponse à 5% : 550.0 ms

MESURES :
Index;Temps;;Consigne de Position;Position Axe;
;ms;;qc;qc;
         0;       0,0;;        28;         1;
         1;      10,0;;       121;         3;
         2;      20,0;;       215;        12;
         3;      30,0;;       308;        25;
         4;      40,0;;       402;        42;
         5;      50,0;;       495;        62;
         6;      60,0;;       588;        86;
         7;      70,0;;       682;       111;
         8;      80,0;;       775;       139;
         9;      90,0;;       869;       169;
        10;     100,0;;       962;       201;
        11;     110,0;;      1055;       235;
        12;     120,0;;      1149;       270;
        13;     130,0;;      1242;       306;
        14;     140,0;;      1335;       344;
        15;     150,0;;      1365;       382;
        16;     160,0;;      1365;       422;
        17;     170,0;;      1365;       462;
        18;     180,0;;      1365;       504;
        19;     190,0;;      1365;       546;
        20;     200,0;;      1365;       589;
        21;     210,0;;      1365;       633;
        22;     220,0;;      1365;       676;
        23;     230,0;;      1365;       720;
        24;     240,0;;      1365;       765;
        25;     250,0;;      1365;       810;
        26;     260,0;;      1365;       856;
        27;     270,0;;      1365;       901;
        28;     280,0;;      1365;       948;
        29;     290,0;;      1365;       994;
        30;     300,0;;      1365;      1040;
        31;     310,0;;      1365;      1087;
        32;     320,0;;      1365;      1133;
        33;     330,0;;      1365;      1181;
        34;     340,0;;      1365;      1228;
        35;     350,0;;      1365;      1275;
        36;     360,0;;      1365;      1317;
        37;     370,0;;      1365;      1354;
        38;     380,0;;      1365;      1386;
        39;     390,0;;      1365;      1412;
        40;     400,0;;      1365;      1431;
        41;     410,0;;      1365;      1444;
        42;     420,0;;      1365;      1454;
        43;     430,0;;      1365;      1459;
        44;     440,0;;      1365;      1460;
        45;     450,0;;      1365;      1460;
        46;     460,0;;      1365;      1460;
        47;     470,0;;      1365;      1460;
        48;     480,0;;      1365;      1456;
        49;     490,0;;      1365;      1451;
        50;     500,0;;      1365;      1447;
        51;     510,0;;      1365;      1442;
        52;     520,0;;      1365;      1437;
        53;     530,0;;      1365;      1433;
        54;     540,0;;      1365;      1428;
        55;     550,0;;      1365;      1423;
        56;     560,0;;      1365;      1418;
        57;     570,0;;      1365;      1412;
        58;     580,0;;      1365;      1408;
        59;     590,0;;      1365;      1403;
        60;     600,0;;      1365;      1399;
        61;     610,0;;      1365;      1394;
        62;     620,0;;      1365;      1390;
        63;     630,0;;      1365;      1387;
        64;     640,0;;      1365;      1384;
        65;     650,0;;      1365;      1381;
        66;     660,0;;      1365;      1378;
        67;     670,0;;      1365;      1376;
        68;     680,0;;      1365;      1374;
        69;     690,0;;      1365;      1372;
        70;     700,0;;      1365;      1370;
        71;     710,0;;      1365;      1369;
        72;     720,0;;      1365;      1367;
        73;     730,0;;      1365;      1366;
        74;     740,0;;      1365;      1365;
        75;     750,0;;      1365;      1364;
        76;     760,0;;      1365;      1363;
        77;     770,0;;      1365;      1362;
        78;     780,0;;      1365;      1361;
        79;     790,0;;      1365;      1361;
        80;     800,0;;      1365;      1360;
        81;     810,0;;      1365;      1360;
        82;     820,0;;      1365;      1360;
        83;     830,0;;      1365;      1359;
        84;     840,0;;      1365;      1359;
        85;     850,0;;      1365;      1359;
        86;     860,0;;      1365;      1359;
        87;     870,0;;      1365;      1359;
        88;     880,0;;      1365;      1359;
        89;     890,0;;      1365;      1359;
        90;     900,0;;      1365;      1359;
        91;     910,0;;      1365;      1359;
        92;     920,0;;      1365;      1359;
        93;     930,0;;      1365;      1359;
        94;     940,0;;      1365;      1359;
        95;     950,0;;      1365;      1359;
        96;     960,0;;      1365;      1359;
        97;     970,0;;      1365;      1359;
        98;     980,0;;      1365;      1359;
        99;     990,0;;      1365;      1359;
       100;    1000,0;;      1365;      1359;
       101;    1010,0;;      1365;      1359;
       102;    1020,0;;      1365;      1359;
       103;    1030,0;;      1365;      1359;
       104;    1040,0;;      1365;      1359;
       105;    1050,0;;      1365;      1359;
       106;    1060,0;;      1365;      1359;
       107;    1070,0;;      1365;      1359;
       108;    1080,0;;      1365;      1359;
       109;    1090,0;;      1365;      1359;
       110;    1100,0;;      1365;      1359;
       111;    1110,0;;      1365;      1359;
       112;    1120,0;;      1365;      1359;
       113;    1130,0;;      1365;      1359;
       114;    1140,0;;      1365;      1359;
       115;    1150,0;;      1365;      1359;
       116;    1160,0;;      1365;      1359;
       117;    1170,0;;      1365;      1359;
       118;    1180,0;;      1365;      1359;
       119;    1190,0;;      1365;      1359;
       120;    1200,0;;      1365;      1359;
       121;    1210,0;;      1365;      1359;
       122;    1220,0;;      1365;      1359;
       123;    1230,0;;      1365;      1359;
       124;    1240,0;;      1365;      1359;
       125;    1250,0;;      1365;      1359;
       126;    1260,0;;      1365;      1359;
       127;    1270,0;;      1365;      1359;

Paramètre AXE :;MAXPID-E
PID AXE :;KP;KI;KD;KV;KA
Position :;5600;4800;25000;0;0
Vitesse :;1000;1000;;0;0
Courant :;800;200
Sécurité
Acc. max.:;2147483647;rpm/s
Vit. max.:;68;rpm

