FICHIER :;c:\Users\sean.bradley\Desktop\BO_500mA.eposacq
Date :;11/04/2025
Heure :;15:01:40

DESCRIPTION :
ACQUISITION AXE 1 : Axe linéaire
SOLLICITATION en COURANT avec consigne de 500 mA.
85 mesures avec période de 10.0 ms


COMMENTAIRE :
CPM-130 :
 Sollicitation en COURANT : Consigne de 500 mA
 PI Courant : KP = 1000 | KI = 1000
 

MESURES :
Index;Temps;;Consigne de Courant;Courant Moteur;Position Axe;Vitesse Axe;
;ms;;mA;mA;qc;rpm;
         0;       0,0;;        40;        40;   1250926;         0;
         1;      10,0;;        40;        40;   1250926;         0;
         2;      20,0;;        40;        40;   1250926;         0;
         3;      30,0;;        40;        40;   1250926;         0;
         4;      40,0;;        40;        40;   1250926;         0;
         5;      50,0;;        40;        40;   1250926;         0;
         6;      60,0;;        40;        40;   1250926;         0;
         7;      70,0;;        40;        40;   1250926;         0;
         8;      80,0;;       500;       363;   1250942;        12;
         9;      90,0;;       500;       490;   1251106;       137;
        10;     100,0;;       500;       496;   1251443;       366;
        11;     110,0;;       500;       496;   1251944;       664;
        12;     120,0;;       500;       497;   1252612;      1014;
        13;     130,0;;       500;       498;   1253446;      1401;
        14;     140,0;;       500;       495;   1254441;      1811;
        15;     150,0;;       500;       497;   1255589;      2232;
        16;     160,0;;       500;       496;   1256878;      2651;
        17;     170,0;;       500;       497;   1258319;      3077;
        18;     180,0;;       500;       496;   1259917;      3512;
        19;     190,0;;       500;       496;   1261667;      3948;
        20;     200,0;;       500;       500;   1263559;      4381;
        21;     210,0;;       500;       500;   1265611;      4822;
        22;     220,0;;       500;       496;   1267822;      5270;
        23;     230,0;;       500;       496;   1270188;      5721;
        24;     240,0;;       500;       498;   1272700;      6166;
        25;     250,0;;       500;       324;   1275333;      6585;
        26;     260,0;;       500;       246;   1278019;      6933;
        27;     270,0;;       500;       206;   1280709;      7192;
        28;     280,0;;       500;       227;   1283404;      7384;
        29;     290,0;;       500;       208;   1286102;      7525;
        30;     300,0;;       500;       222;   1288794;      7622;
        31;     310,0;;       500;       224;   1291487;      7696;
        32;     320,0;;       500;       216;   1294180;      7749;
        33;     330,0;;       500;       211;   1296877;      7790;
        34;     340,0;;       500;       225;   1299576;      7820;
        35;     350,0;;       500;       217;   1302270;      7842;
        36;     360,0;;       500;       228;   1304956;      7850;
        37;     370,0;;       500;       228;   1307647;      7858;
        38;     380,0;;       500;       196;   1310346;      7871;
        39;     390,0;;       500;       206;   1313041;      7879;
        40;     400,0;;       500;       203;   1315738;      7885;
        41;     410,0;;       500;       204;   1318437;      7889;
        42;     420,0;;       500;       222;   1321130;      7890;
        43;     430,0;;       500;       199;   1323825;      7893;
        44;     440,0;;       500;       225;   1326521;      7894;
        45;     450,0;;       500;       213;   1329222;      7898;
        46;     460,0;;       500;       197;   1331922;      7902;
        47;     470,0;;       500;       222;   1334619;      7904;
        48;     480,0;;       500;       209;   1337312;      7899;
        49;     490,0;;       500;       185;   1340013;      7901;
        50;     500,0;;       500;       208;   1342716;      7907;
        51;     510,0;;       500;       166;   1345414;      7908;
        52;     520,0;;       500;       197;   1348111;      7905;
        53;     530,0;;       500;       215;   1350811;      7906;
        54;     540,0;;       500;       197;   1353504;      7903;
        55;     550,0;;       500;       206;   1356196;      7898;
        56;     560,0;;       500;       234;   1358889;      7894;
        57;     570,0;;       500;       182;   1361588;      7898;
        58;     580,0;;       500;       203;   1364283;      7899;
        59;     590,0;;       500;       215;   1366978;      7897;
        60;     600,0;;       500;       209;   1369673;      7896;
        61;     610,0;;       500;       199;   1372375;      7902;
        62;     620,0;;       500;       190;   1375074;      7904;
        63;     630,0;;       500;       189;   1377773;      7904;
        64;     640,0;;       500;       204;   1380474;      7905;
        65;     650,0;;       500;       194;   1383171;      7906;
        66;     660,0;;       500;       228;   1385863;      7901;
        67;     670,0;;       500;       205;   1388558;      7898;
        68;     680,0;;       500;       196;   1391255;      7898;
        69;     690,0;;       500;       203;   1393957;      7905;
        70;     700,0;;       500;       203;   1396654;      7904;
        71;     710,0;;       500;       200;   1399353;      7904;
        72;     720,0;;       500;       225;   1402051;      7903;
        73;     730,0;;       500;       167;   1404752;      7908;
        74;     740,0;;       500;       184;   1407456;      7911;
        75;     750,0;;       500;       208;   1410160;      7913;
        76;     760,0;;       500;       168;   1412863;      7916;
        77;     770,0;;       500;       194;   1415564;      7916;
        78;     780,0;;       500;       215;   1418264;      7913;
        79;     790,0;;       500;       188;   1420970;      7917;
        80;     800,0;;       500;       198;   1423674;      7920;
        81;     810,0;;       500;       194;   1426381;      7922;
        82;     820,0;;       500;       196;   1429086;      7922;
        83;     830,0;;       500;       211;   1431787;      7921;
        84;     840,0;;       500;       212;   1434481;      7914;

Paramètre AXE :;Axe linéaire
PID AXE :;KP;KI;KD;KV;KA
Position :;130;500;180;0;0
Vitesse :;470;90;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;10000000;rpm/s
Vit. max.:;11000;rpm

